index,total_in_score,total_out_score,id,title,abstract
1050,1,2,498,Events and Political Statements (489 vertices),"דסק העולם הערביאיימן ספדי, שר החוץ של ירדן, גינה בחריפות את ישראל אמש בוועידת מינכן לביטחון ואמר שהיא אחראית לעקירת מיליוני בני אדם בעזה. עוד אמר ספדי כי ירדן ""לא צריכה להיות אחראית לניקוי הבלגן של ישראל"" על ידי מתן אפשרות לאנשים להיכנס לגבולותיה. ""מה שאנחנו רואים בעזה זה מלחמה הרסנית, רצח המוני, דחיקת אנשים לתהום, הרס בתי חולים, הרג עיתונאים. עלינו למסגר את הדברים בהקשר הנכון"", תקף ספדי, כשנשאל אם ירדן תקבל עקורים פלסטינים@N12chat"
1051,0,0,511,Events and Political Statements (489 vertices),"°באם הנך מעוניין/ת להשתתף במחקר אנא צרו קשר בדרכים הבאות:1 - לחץ/י על הלינק למילוי שאלון קצר לבדיקת התאמה למחקר (כ-3 דקות מילוי):https://rc.sheba.co.il/surveys/?s=R3KWPLDKJPRRW48J2-  בטלפון:052-666-78523 - במייל:COMMETS@sheba.health.gov.ilרקע והסבר לגבי המחקר:מחקרים אפידמיולוגיים רבים מצביעים על כך שלמבוגרים בעלי תסמונת מטבולית (טרום סכרת, השמנת יתר, לחץ דם גבוה ורמת שומנים גבוה בדם) יש סיכון גבוה יותר לפתח ירידה קוגניטיבית, מחלת אלצהיימר ודמנציה. ידוע כי תסמונת מטבולית קשורה למחלות כלי דם אשר עלולות לגרום לפגיעה בכלי הדם המוחיים, והינה הגורם העיקרי לסיכון המוגבר לירידה קוגניטיבית.במחקר זה נבדקת האפשרות לנסות ולתקן את הפגיעה בשלמות כלי הדם במוח ובכך לשפר את התפקוד המוחי והקוגניציה על ידי טיפול משולב של נטילת התרופה RYBELSUS בשילוב ריסוס אינסולין תוך-אפי.בנוסף לטיפול התרופתי, כל משתתף יעבור בדיקות מקיפות הכוללות הערכה של המצב הבריאותי, הערכה קוגניטיבית נרחבת, בדיקות דימות מוחי (כגון MRI ו PET-CT), ובדיקות נוספות. בדיקות אלו יבוצעו בבית החולים שיבא (תל השומר)."
1052,2,0,524,Events and Political Statements (489 vertices),"ענבר טויזרהחטופים רום ברסלבסקי וקרינה ארייב היו אמורים להצביע בקלפי בשכונת פסגת זאב שבירושלים. משפחותיהם הקימו עמדה בכניסה, והן מבקשות: לבחור בחטופים. סשה, אחותה של קרינה מספרת: ""חשוב לנו להעלות את המודעות לכך שהחטופים עדיין בשבי חמאס. הציבור איתנו בקריאה לעשות הכול כדי להחזיר אותם""@N12chat"
1053,1,0,525,Events and Political Statements (489 vertices),"מבזקן 12לוחמי צה""ל, שב""כ ומג""ב עצרו הלילה 10 מבוקשים ברחבי יהודה ושומרון; בעציון נעצרו 2 מבוקשים שפעלו להסעת והברחת מסתננים, אחד מהם הוביל תשתית הסעות מסתננים. המבוקשים שנעצרו הועברו להמשך חקירת כוחות הביטחון@N12chat"
1054,1,0,539,Events and Political Statements (489 vertices),"צומת א-שעביה במרכז העיר עזה: אדמה פנויה הפכה לבית קברות מאולתר.יש כאן קברים על שטח נדל""ן עזתי יקר מאוד.. אדמה פנויה במרכז העיר עזה היתה עד המלחמה מצרך נדיר ויקר."
1055,1,0,552,Events and Political Statements (489 vertices),"אילנית אדלרבעזרת ""חתולי שלג"" וציוד מיוחד: תוקנה תקלת חשמל באזור החרמון שנגרמה ממזג האוויר הסוער@N12chat"
1056,1,0,565,Events and Political Statements (489 vertices),"קרן בצלאלשגריר אוקראינה בישראל, איבגן קורניצ'וק, סייר בגבול הצפון. ""קשה לי לראות כיצד אזרחים נאלצים לעזוב את בתיהם כדי למצוא מחסה מפני ההפצצות"", אמר. ""עלינו להתאחד נגד הטרור והאיומים שמציבים רוסיה, איראן ושלוחותיהן""@N12chat"
1057,0,0,585,Events and Political Statements (489 vertices),"דפנה ליאל📝עוד לדבריו: יש הסכמה שסיוע הומניטרי הוא תנאי להמשך הלחימה, כל אחד מבין את זה@N12chat"
1058,0,0,589,Events and Political Statements (489 vertices),קטר:  ביום שלישי הקרוב תפתח השגרירות שלנו בסוריה את שעריה לראשונה מזה 13 שנה.  תגובה אחת	קטר וטורקיה הספונסריות הגדולות של חמאס מחבקות חזק חזק את השלטון הסורי הסוני החדש.#האחים_המוסלמיםכדי להגיב לכתבה לחצו כאן
1059,0,0,616,Events and Political Statements (489 vertices),"הקרמלין: מכחישים שאסמאא' אסד, אשתו של בשאר אסד, הגישה בקשה לעזוב את שטח רוסיה.כדי להגיב לכתבה לחצו כאן"
1060,0,0,630,Events and Political Statements (489 vertices),"קטר נוטעת שורשים בסוריהאחמד א-שרע, מפקד ארגון המורדים היאת תחריר א-שאם לאחר המפגש עם המשלחת הקטרית הבכירה בדמשק היום:השלב הבא בסוריה הוא שלב הפיתוח וקטר תהיה שותפה משמעותית בכך.קטר הביעה עניין בהשקעות בסוריה בכל התחומים.הזמנו את שליט קטר להגיע לסוריה.##קטר, טורקיה, אחים מוסלמים.... נשמע מוכר... ממש כמו ברצועת עזה...עכשיו נטמנים הזרעים.ישראל זקוקה להתערבות אמריקאית בעניין מול קטר ומול טורקיה."
1061,0,0,639,Events and Political Statements (489 vertices),"זה אותו סגן בן חמו מהסרטון הזה👆המפקד בן חמו, אתה תותח רציני עם מחסני השראה שמספיקים לצבא שלם.אפשר להיות חייל שלך?כדי להגיב לכתבה לחצו כאן"
1062,0,0,651,Events and Political Statements (489 vertices),"גיא ורוןמפלס הכנרת עלה ביממה האחרונה ב-2 ס""מ, ועומד כעת על 210.17- ס""מ. המרחק מהקו האדום העליון: 1.37 מ'@N12chat"
1063,0,10,652,Events and Political Statements (489 vertices),"אסף רוזנצוייגהמודיעין הבריטי: מאז תחילת המלחמה באוקראינה, רוסיה איבדה כ-350 אלף חיילים. כלל האבדות מגיע ליותר מפי 2 מהיקף הכוח שעמד לרשות הרוסים ב-24 בפברואר 2022@N12chat"
1064,2,0,679,Events and Political Statements (489 vertices),"שושי חתוקהרעיית רה""מ שרה נתניהו פנתה במכתב לאפיפיור פרנציסקוס: ""חמאס עדיין מחזיק ב-129 גברים, נשים, צעירים, מבוגרים וילדים, רבים מהם פצועים וחולים. הם סובלים מרעב ומתנאים לא אנושיים, ונמנעות מהם התרופות הבסיסיות שהם צריכים כדי לשרוד והעזרה של הצלב האדום. התערבותך יכולה להציל חיים יקרים""@N12chat"
1065,0,2,680,Events and Political Statements (489 vertices),"עמית אטיאסרן דנקר, שופט ״הכוכב הבא״, על נפילתו של סרן במיל' שאול גרינגליק: ״רואה את החדשות וכבר לא מסוגל. קשה להאמין שלפני רגע שרת מולנו, המוזיקה שלך, השירה שלך, והעיניים שלך נחקקו בזכרוני. אין לי מילים״@N12chat"
1066,1,0,691,Events and Political Statements (489 vertices),"יובל אראלנגיד בנק ישראל אמיר ירון בטקס הארכת כהונתו: ""בעת הזו, עוד יותר מבכל זמן אחר, נדרש לנהל את המדיניות הכלכלית באחריות רבה. בתקופה האחרונה חווינו אמירות וניסיונות חוזרים ונשנים להתערבות במנגנוני השוק בנושא בנקאות ופיננסים. פגיעה בתחומים אלו היא פגיעה בכלכלה הישראלית""@N12chat"
1067,1,15,704,Events and Political Statements (489 vertices),"דנה ויסגורם מדיני דיווח כי יש התקדמות בהסכמה בין ישראל למתווכות על מסגרת של עסקת חטופים, שככל הנראה תכלול שתי פעימות לפחות. קיימים עדיין פערים משמעותיים, בהם עתידים הצדדים להמשיך לדון כבר השבוע בפגישות הדדיות נוספות. גורם ישראלי מעדכן כי המתווה טרם הועבר לחמאס. קבינט המלחמה יעודכן מחר על ידי ראש המוסד דדי ברנע, ראש שב""כ רונן בר ואלוף במילואים ניצן אלון@N12chat"
1068,1,0,723,Events and Political Statements (489 vertices),"העזתיים שהתגוררו בבית הספר ח'ליפה👆בבית לאהיא בצפון הרצועה עברו לגור, כמו אחיהם ברפיח, באוהלים תחת כיפת השמים. הם מרוכזים ברחבת ""אלקסאם"" בבית לאהיא. רחבת אלקסאם - על שם עז אדין אלקסאם, ממש כמו שם הזרוע הצבאית שבגללה הם נמצאים שם."
1069,1,0,728,Events and Political Statements (489 vertices),הפלסטינים מדווחים: עלה לחמישה מספר ההרוגים בתקיפת👆ג'יפ היונדאי ברפיח.כדי להגיב לכתבה לחצו כאן
1070,1,0,731,Events and Political Statements (489 vertices),"ניצן שפיראקיבוץ בארי ומטה משפחות החטופים: בצער רב וביגון עמוק אנו מודיעים על הירצחו של חבר הקיבוץ האהוב, יוסי שרעבי שנחטף לעזה ב-7 באוקטובר. יוסי הניח אחריו אישה ושלוש בנות. הוא היה איש אוהב אדם, אכפתי, ידוע במסירותו לכל סובביו ותמיד היה מלא שמחת חיים@N12chat"
1071,1,0,763,Events and Political Statements (489 vertices),"סוכנות הידיעות הסורית הרשמית:""סמוך לשעה 05:25 תקף האויב הישראלי במקביל את שדות התעופה בדמשק ובחלב. הותקפו מסלולי ההמראה ושני שדות התעופה מושבתים כעת."""
1072,0,1,771,Events and Political Statements (489 vertices),"מבזקן 12רוכבת אופנוע בת 17 נפצעה קשה מפגיעת רכב בכביש 8510 בכניסה לבוסתן הגליל. חובשים ופרמדיקים של מד""א פינו אותה למרכז הרפואי לגליל בנהריה עם חבלה רב מערכתית. חובש בכיר במד""א שמעון דהאן, מיחידת האופנועים, סיפר: ""חילצנו אותה והענקנו לה טיפול רפואי שכלל קיבוע לגב ועצירת דימומים. לאחר מכן פינינו אותה בדחיפות לבית החולים"". צילום: תיעוד מבצעי מד""א@N12chat"
1073,1,0,792,Events and Political Statements (489 vertices),"מבזקן 12יו""ר הוועדה לביטחון לאומי וחה""כ מעוצמה יהודית צביקה פוגל השווה בין בית המשפט העליון לארגוני הטרור הרצחניים: ""לכל אחד יש את הזמן שלו. סבלנות"". יו""ר מפלגתו, השר לביטחון לאומי בן גביר עשה לייק לפוסט@N12chat"
1074,1,0,797,Events and Political Statements (489 vertices),"אסף רוזנצוייגדיווח בסוכנות הידיעות AP: החות'ים שיגרו טיל לעבר ספינת המכולות Mearsk Gibraltar הנושאת את דגל הונג קונג, אך פספסו. הספינה הייתה מדרכה מנמל סלאלה בעומאן לנמל ג'דה בסעודיה. כזכור, גם אתמול החות'ים שיגרו טילים והחטיאו לעבר מכלית הנושאת את דגל איי מרשל@N12chat"
1075,2,0,824,Events and Political Statements (489 vertices),"מנכ""ל משרד הבריאות הפלסטיני בעזה לאלג'זירה:כלבים עזובים מחטטים בגופות שנערמות ברחבת בית החולים שפאא וסביבותיה. מאות גופות מוטלות ברחובות."
1076,1,0,838,Events and Political Statements (489 vertices),"אור רבידבמשטרה מעדכנים על 8 פצועים בקטטה בדרום תל אביב בין מתנגדי ותומכי המשטר באריתריאה. מפקד המחוז, ניצב פרץ עמר, מקיים הערכת מצב בשטח עם ממ""ר איילון, תנ""צ חיים בובליל. כמו כן נסגרו מקטעים ברחוב ההגנה, לוינסקי וענתבי@N12chat"
1077,1,1,851,Events and Political Statements (489 vertices),הדובר הצבאי של החות'ים:ביצענו היום פעולת איכות צבאית - תקפנו במספר טילים ספינת סוחר אמריקאית שהיתה בדרכה לנמלי ישראל. הושגו פגיעות ישירות במטרה.
1078,0,0,865,Events and Political Statements (489 vertices),"אור רבידתושב חולון בן 27 יואשם ברצח אמו תושבת העיר, בת 57. הרצח התרחש בחודש נובמבר האחרון, ובעקבותיו נפתחה חקירה שהובילה למעצרו של החשוד. מעצרו הוארך מעת לעת, ואתמול הוגשה נגדו בבית המשפט הצהרת תובע לקראת הגשת כתב אישום@N12chat"
1079,1,0,897,Events and Political Statements (489 vertices),"פוראת נסארבית הדין לעבודה אילץ את בית החולים בני ציון בחיפה להחזיר לעבודה אחות שפוטרה בתחילת המלחמה לאחר שפרסמה ברשתות החברתיות פוסט הנחשד כמביע תמיכה בחמאס. ""שלא ידברו על דו-קיום"", אמרה אחותה בתגובה. ""אחותי לא עשתה כלום חוץ מלטפל בחולים מכל הדתות""@N12chat"
1080,1,1,907,Events and Political Statements (489 vertices),"מעבר כרם שלום, היום: ביקוש גבוה לעצים להסקה (ובישול) ברצועה.כדי להגיב לכתבה לחצו כאן"
1081,0,1,911,Events and Political Statements (489 vertices),"אסף רוזנצוייגסין הודיעה שעצרה את מנהלה של חברת ייעוץ גדולה בחשד לריגול עבור שירות המודיעין של בריטניה. על פי ההודעה, ""ה-MI6 הבריטי גייס אותו בשנת 2015, אימן אותו לרגל ושלח אותו לבקר פעמים רבות בסין כדי לאסוף מודיעין ולאתר נכסים פוטנציאליים""@N12chat"
1082,0,0,912,Events and Political Statements (489 vertices),בן גולדפריינדכבר 3 נקודות מהפיסגה: הפועל באר שבע רשמה ניצחון 4 ברציפות עם 2:4 על בני ריינה וביססה את מקומה בצמרת ליגת העל בכדורגל. צמד לעדן שמיר@N12chat
1083,0,1,931,Events and Political Statements (489 vertices),"חזבאללה מודיע על הרוג בשורותיו:האדי עואלא, תושב הדאחיה בביירות.מספר 127כדי להגיב לכתבה לחצו כאן"
1084,1,0,954,Events and Political Statements (489 vertices),"אור רבידבני משפחות חטופים חוסמים את איילון דרום ומחריפים את הטון כלפי נתניהו: ""הפקרת אותם ב-7 באוקטובר ואתה ממשיך להפקיר אותם 127 ימים משיקולים פוליטיים. צא עוד היום לציבור ותודיע שאתה בוחר בחטופים ולא בבן גביר. הזמן שלהם אזל. צילום: דון@N12chat"
1085,0,0,962,Events and Political Statements (489 vertices),"ירון אברהםעוד הוסיף הגורם: אנחנו מעריכים שהעסקה תצא אל הפועל ושזה עיכוב של הרגע האחרון. לדבריו, המשפחות ושרי הממשלה ""שמעו מאיתנו"" וכי גם שרי קבינט המלחמה ידעו דקות לפני על העיכוב בשחרור@N12chat"
1086,1,0,991,Events and Political Statements (489 vertices),"יונה לייבזוןשגרירת ארה""ב לאו""ם לינדה תומאס גרינפילד בתום דיון סגור של מועצת הביטחון של האו""ם: לא יהיה הסכם ללא שחרור החטופים. ההצעה היא חזקה וטובה: היא כוללת הפסקה הומניטרית ארוכה יותר. <br />אם לחמאס היה באמת אכפת מצרכי הפלסטינים הוא היה מסיים את המלחמה עכשיו. כל הקהילה הבין-לאומית צריכה לקרוא לחמאס לשחרר את החטופים ולסיים את המלחמה@N12chat"
1087,1,0,999,Events and Political Statements (489 vertices),"הרגע שבו חיילי גולני הורסים את הכיכר שהקימה חמאס לציון אסון הנגמ""ש בשג'אעיה."
1088,1,0,1014,Events and Political Statements (489 vertices),"תמיר סטיינמןתקיפה אלימה במושב זרחיה: פעילים של ראש מועצה איזורית שפיר היוצא אדיר נעמן תקפו את פעיליו של המתמודד לראשות המועצה ליאור איובי. ההסלמה התרחשה מחוץ לקלפי במושב. למקום הגיעו כוחות מד""א ותלונה הוגשה במשטרה@N12chat"
1089,1,10,1021,Events and Political Statements (489 vertices),"קרן בצלאלשגריר ארה""ב בישראל: ""מזועזע ממתקפת הטרור שגרמה למותם של שני אנשים ולפציעות קשות של אחרים. אני מוסר את תנחומיי הכנים למשפחות שנפגעו מהטרגדיה, זה טרור מתועב לחלוטין""@N12chat"
1090,1,0,1056,Events and Political Statements (489 vertices),"ספיר ליפקיןבמשרד החוץ הסעודי התייחסו למעורבות עובדי אונר""א בטבח 7 באוקטובר והבהירו שיש למצות את החקירה. ולעקוב אחר ההשלכות הבין-לאומיות. משרד החוץ הסעודי קרא לכל תומכי אונר""א למלא את תפקידם ולאפשר לה לבצע את משימותיה ההומניטריות כדי לסייע לפלסטינים@N12chat"
1091,1,0,1083,Events and Political Statements (489 vertices),"אור רבידאמש התקיים בחולון מופע התרמה שכל הכנסותיו יועברו לסיוע לשתי משפחות של חטופים תושבי העיר, אגם ברגר ובר קופרשטיין, וכן לשיקום קיבוץ ניר עוז, שאחת מתוך כל ארבע משפחותיו איבדה את יקיריה ואת ביתה. את המופע הנחה עומר חזן, והשתתפו בו ריטה, בן בן ברוך וגיא ויהל. בסרטון: שירה משותפת של קיטה ורותם קלדרון, שבני משפחתו נחטפו לעזה@N12chat"
1092,1,0,1089,Events and Political Statements (489 vertices),מקורות לבנוניים: הרוג ו 6 פצועים בתקיפה על הדירה באזור ברבור בביירות👆.  כדי להגיב לכתבה לחצו כאן	עדכון: 3 הרוגים ו 10 פצועים בתקיפת הדירה באזור ברבור בביירות.כדי להגיב לכתבה לחצו כאן
1093,1,0,1090,Events and Political Statements (489 vertices),"ענבר טויזראוהד מונדר בן ה-9, אמו קרן וסבתו רותי, ששוחרו מידי החמאס, מטופלים במתחם הייעודי במרכז שניידר לרפואת ילדים. בתמונות ובסרטון - המפגש הראשון עם אביו ואחיו של אוהד ועם בני המשפחה. צילום: דוברות מרכז שניידר@N12chat"
1094,0,10,1099,Events and Political Statements (489 vertices),"מבזקן 12רוכב אופנוע כבן 30 נפצע קשה מפגיעת רכב בדרך השבעה בחולון. צוות מד""א פינה אותו לביה""ח שיבא תל השומר עם פגיעה רב מערכתית, כשהוא מורדם ומונשם. פרמדיק מד""א שחר חזקלביץ וחובש רפואת חירום מיחידת האופנועים של מד""א אורי דמארי, סיפרו: ""טיפלנו בפצוע קל שנפגע מרסיס בראשו בעקבות המטח האחרון, כשלפתע שמענו רעש חזק מאוד של תאונה. רצנו עם הציוד הרפואי לרוכב האופנוע ששכב על הכביש"". קרדיט: תיעוד מבצעי מד""א@N12chat"
1095,0,0,1106,Events and Political Statements (489 vertices),"דפנה ליאליו""ר הקואליציה ח""כ אופיר כץ: ""כל לוחם ולוחמת נותנים 100% מעצמם, מרגע הגיוס ועד לסיום המילואים. אנחנו היום נותנים להם 100% בחזרה. הבטחתי וקיימתי. מודה ליו״ר ועדת החוץ והביטחון יולי אדלשטיין, לשר הביטחון גלנט, לפורום לוחמים משוחררים ולחברי הכנסת שהצטרפו אליי להצעה""@N12chat"
1096,1,0,1125,Events and Political Statements (489 vertices),"מתן יעקב📝מזג האוויר היום ימשיך להיות נוח ולא יהיה שינוי ניכר בטמפרטורות שיישארו גבוהות. מערכות הגשם, לפחות לימים הקרובים - נגמרו. השמיים יהיו בהירים גם באזורי המרכז והדרום, ותחול עלייה קלה בטמפרטורות בחלקיה הפנימיים של הארץ@N12chat"
1097,1,0,1135,Events and Political Statements (489 vertices),הקריקטוריסט עלאא' לקטה (מזוהה עם חמאס):העקורים הלבנונים חוזרים הביתה... העקורים העזתיים נשארים באוהל.##העזתיים מקנאים בלבנונים על כך שהם זכו להפסקת אש.3 תגובות
1098,1,0,1136,Events and Political Statements (489 vertices),"איתמר מינמרשר התקשורת קרעי אישר לענקית הלוויינים סטארלינק, שנמצאת בבעלות אילון מאסק, לפעול בארץ. בנוסף, השר ונציגי החברה הגיעו להסכמות בנוגע לכניסת סטארלינק לרצועת עזה. באישור גורמי הביטחון תוכנס יחידה אחת לבית חולים שדה של איחוד האמירויות ברפיח. החיבורים המהירים של סטארלינק יאפשרו שיחות ועידה עם בתי חולים אחרים ואבחונים מרחוק בזמן אמת@N12chat"
1099,0,0,1163,Events and Political Statements (489 vertices),מה שמעניין בדיווח👆הוא שטרחו להודיע עליו באיחור של שבוע וגם שחיל הים היה מעורב ביירוט.כדי להגיב לכתבה לחצו כאן
1100,1,0,1174,Events and Political Statements (489 vertices),"קרן בצלאל📝מועצת הביטחון של האו""ם תתכנס היום ב-22.00 לדיון דחוף בנושא המלחמה בעזה, לבקשת אלג’יריה. שגריר ישראל באו""ם גלעד ארדן צפוי לנאום לאחר מכן@N12chat"
1101,1,0,1180,Events and Political Statements (489 vertices),"ניר דבוריחברי קבינט המלחמה נפגשו עם היועץ לביטחון לאומי של ארה""ב ג'ייק סאליבן. הצדדים דנו בהמשך המלחמה עד לניצחון והשגת המטרות המשותפות: חיסול חמאס, שחרור כל החטופים, פירוק יכולתיו הצבאיות של חמאס וסיום שלטונו בעזה. במקביל, הצדדים דנו בהמשך הסיוע ההומניטרי לתושבי עזה. צילום: עמוס בן גרשום, לע""מ@N12chat"
1102,0,0,1193,Events and Political Statements (489 vertices),"אור רבידבן 31 מת""א נעצר בחשד לעבירות מין ברשת בילדה בת 12. מהחקירה עלה שהציג עצמו באינסטגרם כ""סתיו כהן"" ויצר קשר אינטרנטי עם הילדה. בההמשך הציע לה לסגור את דלת חדרה, לצלם עצמה בבגד ים ולשלוח אליו את התמונות תמורת כסף ופרסום@N12chat"
1103,1,0,1200,Events and Political Statements (489 vertices),"מבזקן 12טרופר קורא לשינוי חוק הגיוס בצל המלחמה: ""האמת צריכה להיאמר - הנופלים לא באים מכל המגזרים. במגזר החרדי מתנדבים, לומדים ומתפללים לזכר הנופלים וזה מבורך, אבל הם לא שותפים בנטל השירות. רבות מדובר על 'ציפור הנפש' של החברה החרדית. גם לנו יש 'ציפור נפש' ואנחנו נאבקים על כך שיפסיקו לרמוס אותה""@N12chat"
1104,1,0,1201,Events and Political Statements (489 vertices),"ספיר ליפקיןבחיזבאללה הודיעו רשמית על חיסולו של עלי חסין ברג'י, האחראי על מערך הכטב""מים של חיזבאללה בדרום לבנון. בהצהרה שלהם הוא כונה ""שהיד לוחם"" ולא מפקד, בשונה מבכיר כוח רדואן ויסאם א-טויל שחוסל אתמול. מתחילת המלחמה - ארגון הטרור הצהיר על 158 הרוגים משורותיו@N12chat"
1105,1,0,1207,Events and Political Statements (489 vertices),דנה ויסהתקבלה רשימת החטופים שצפויים להשתחרר מחר. הרשימה נבדקת כעת ובהמשך המדינה צפויה להודיע למשפחות אם יקיריהן נמצאים בה@N12chat
1106,1,0,1211,Events and Political Statements (489 vertices),"מיכל פעילןמאות מרצים, אנשי סגל וסטודנטים השתתפו בצעדה במכללה למינהל במסגרת שביתת ההזדהות במשק. סטודנט במכללה שאביו נחטף ב-7 באוקטובר: ""אלו מאה ימים שאתה מיואש עד העצמות, מאה ימים שבהם אתה מנסה להתרומם כל בוקר מחדש. אומנם הלימודים התחילו, החיים המשיכו - אבל הזמן שלנו נעצר"". קרדיט: המכללה למינהל@N12chat"
1107,1,0,1214,Events and Political Statements (489 vertices),"שני בירנבויםעשרות אוניברסיטאות בארה""ב קיימו אירועי הדלקת נרות חנוכה תחת הכותרת: ""מאירים את דרכם הביתה"". זאת לצורך המיידים בהשבת החטופים הישראלים הביתה. צילום: סשה, שליחת הסוכנות היהודית בניו יורק@N12chat"
1108,1,0,1221,Events and Political Statements (489 vertices),"מבזקן 12השר לביטחון לאומי איתמר בן גביר: ""החלטת בית הדין האנטישמי בהאג מוכיחה את מה שהיה ידוע מראש: בית הדין הזה אינו מבקש צדק, אלא את רדיפת העם היהודי. הם שתקו בשואה והיום ממשיכים בצביעות ועולים שלב נוסף. האג שמאג! עלינו להמשיך בכתישת האויב עד הניצחון המוחלט""@N12chat"
1109,0,0,1228,Events and Political Statements (489 vertices),"אור רבידבני זוג תושבי קרית אונו נעצרו בחשד להחזקה וסחר בסמים. במהלך החיפוש בביתם, תפסו בלשי המשטרה קילוגרם מריחואנה, 3 פלטות חשיש ועשרת אלפים שקלים במזומן@N12chat"
1110,0,10,1229,Events and Political Statements (489 vertices),דפנה ליאל📝הממשלה אישרה: הבחירות לרשויות המקומיות נדחו ל-27 בפברואר@N12chat
1111,0,2,1230,Events and Political Statements (489 vertices),מבזקן 1211 האזרחים הישראלים ששוחררו מידי החמאס: 9 ילדים ו-2 אימהות@N12chat
1112,0,0,1276,Events and Political Statements (489 vertices),"°דובר צה""ל חושף: מנהרה בבית החולים שפאאhttps://youtu.be/27qIrZ23fkA?si=znKV03GivMmUxtVB"
1113,0,0,1281,Events and Political Statements (489 vertices),"אור רבידשב""ס: נקבע מותו של אסיר ביטחוני, בן 23 משכם, בבית הכלא מגידו. הוא ריצה מאסר בגין ירי לעבר אנשים, מגע עם ארגון עוין, עבירות אמל""ח וזריקת חפץ מבעיר@N12chat"
1114,1,1,1291,Events and Political Statements (489 vertices),"נועם כהןהשר חילי טרופר ביקר היום את הזמר והשחקן עידן עמדי, המשרת במילואים כלוחם ונפצע קשה ברצועת עזה. המסר של עמדי מבית החולים: ""אני אהיה בסדר, מה שחשוב זה שנישאר חזקים ביחד""@N12chat"
1115,1,10,1292,Events and Political Statements (489 vertices),שר החוץ הירדני:אם כל מדינה אחרת היתה נוהגת כמו ישראל היו מוטלות עליה סנקציות.לא נחתום על הסכם מים תמורת אנרגיה עם ישראל
1116,0,1,1306,Events and Political Statements (489 vertices),"ארה""ב:""מחאת חג המולד"" נגד ישראל התקיימה ליד בתיהם של שר ההגנה האמריקאי ושל היועץ לביטחון לאומי האמריקאי.המוחים קראו: No Crismis as usualלא חוגגים את חג המולד כרגיל... כש""רצח העם"" בעזה נמשך.הסרטון המצורף צולם ליד ביתו של שר ההגנה.כדי להגיב לכתבה לחצו כאן"
1117,1,0,1314,Events and Political Statements (489 vertices),"הזרוע הצבאית של הג'האד האסלאמי בסוריה מודיעה כי אחד מפעיליה, אסאמה ד'יאבאת, נהרג היום בגבול לבנון."
1118,1,0,1329,Events and Political Statements (489 vertices),"מבזקן 12📝מרי רובינסון, לשעבר הנציבה העליונה לזכויות אדם של האו""ם בקריאה לממשל ביידן: ""תשקלו מחדש את הסיוע הצבאי שלכם לישראל"". בריאיון ל-CNN, אמרה כי התגובה של ישראל לאירועי 7 באוקטובר היא ""בלתי פרופורציונלית"" ו""לא אנושית""@N12chat"
1119,0,0,1345,Events and Political Statements (489 vertices),"קרן בצלאל📝הבית הלבן: ביידן, יחד עם סגניתו האריס, שוחחו עם הצוות לביטחון לאומי על ""ההתפתחויות במזרח התיכון""@N12chat"
1120,1,10,1355,Events and Political Statements (489 vertices),"ניר דבוריצה""ל השלים תקיפה נרחבת בשטח לבנון. בתוך כך, חוסלה חוליית מחבלים והושמדו עמדת שיגור של חיזבאללה, מתחמים צבאיים, מפקדה מבצעית ותשתיות טרור נוספות@N12chat"
1121,2,0,1362,Events and Political Statements (489 vertices),אלג'זירה מפי שר החוץ האמריקאי:אין אפשרות שחמאס תמשיך לשלוט בעזה. יש צורך בשלב מעבר אחרי הלחימה.ישראל אינה יכולה לנהל את עזה/לשלוט בה וקברניטיה הודיעו לנו שאין בכוונתם לעשות כן.
1122,1,1,1375,Events and Political Statements (489 vertices),"שושי חתוקהראש הממשלה בנימין נתניהו: ""כוחותינו מכתרים את ביתו של סינוואר. אז ביתו איננו מבצרו, והוא יכול לברוח, אבל זאת רק שאלה של זמן עד שנשיג אותו""@N12chat"
1123,1,0,1376,Events and Political Statements (489 vertices),"שושי חתוקה""בכל מצב, עם או בלי הסדר קבע, ישראל תשמור על השליטה הביטחונית המלאה בכל השטח מערבית לירדן. זה כולל כמובן את יהודה ושומרון ואת רצועת עזה. אני קורא לכל המפלגות הציוניות להצביע בעד ההצעה שאנחנו מביאים הערב לכנסת""@N12chat"
1124,1,0,1378,Events and Political Statements (489 vertices),"דפנה ליאל📝הגרי הוסיף: ""אנחנו מחבקים הערב את משפחות החטופים. מוטלת עלינו החובה להשיב את כולם הביתה. הימים שלפנינו יהיו מורכבים, אנחנו לא שוכחים שחמאס הוא אויב אכזרי וחסר רחמים""@N12chat"
1125,1,0,1379,Events and Political Statements (489 vertices),אלג'זירה: הצלב האדום מסר את שתי החטופות עם האזרחות הרוסית בצד המצרי.
1126,0,0,1410,Events and Political Statements (489 vertices),"אילנית אדלרהחל מאתמול בערב, עובדי חברת החשמל בתחנת הכוח הסמוכה לזיקים מתמודדים מול גל של אלפי מדוזות, שמגיעות לתחנה עם מי הים. הגעתן עשויה לשבש את תהליכי הייצור בתחנה ונדירה לעונה זו@N12chat"
